Filename,FricDur,AspDur,C_Afil,V_Afil
so-1_100_0_so-1.wav,100,0,so-1,so-1
so-1_100_0_so-3.wav,100,0,so-1,so-3
so-1_100_0_sso-1.wav,100,0,so-1,sso-1
so-1_100_0_sso-3.wav,100,0,so-1,sso-3
so-1_100_100_so-1.wav,100,100,so-1,so-1
so-1_100_100_so-3.wav,100,100,so-1,so-3
so-1_100_100_sso-1.wav,100,100,so-1,sso-1
so-1_100_100_sso-3.wav,100,100,so-1,sso-3
so-1_100_125_so-1.wav,100,125,so-1,so-1
so-1_100_125_so-3.wav,100,125,so-1,so-3
so-1_100_125_sso-1.wav,100,125,so-1,sso-1
so-1_100_125_sso-3.wav,100,125,so-1,sso-3
so-1_100_150_so-1.wav,100,150,so-1,so-1
so-1_100_150_so-3.wav,100,150,so-1,so-3
so-1_100_150_sso-1.wav,100,150,so-1,sso-1
so-1_100_150_sso-3.wav,100,150,so-1,sso-3
so-1_100_25_so-1.wav,100,25,so-1,so-1
so-1_100_25_so-3.wav,100,25,so-1,so-3
so-1_100_25_sso-1.wav,100,25,so-1,sso-1
so-1_100_25_sso-3.wav,100,25,so-1,sso-3
so-1_100_50_so-1.wav,100,50,so-1,so-1
so-1_100_50_so-3.wav,100,50,so-1,so-3
so-1_100_50_sso-1.wav,100,50,so-1,sso-1
so-1_100_50_sso-3.wav,100,50,so-1,sso-3
so-1_100_75_so-1.wav,100,75,so-1,so-1
so-1_100_75_so-3.wav,100,75,so-1,so-3
so-1_100_75_sso-1.wav,100,75,so-1,sso-1
so-1_100_75_sso-3.wav,100,75,so-1,sso-3
so-1_125_0_so-1.wav,125,0,so-1,so-1
so-1_125_0_so-3.wav,125,0,so-1,so-3
so-1_125_0_sso-1.wav,125,0,so-1,sso-1
so-1_125_0_sso-3.wav,125,0,so-1,sso-3
so-1_125_100_so-1.wav,125,100,so-1,so-1
so-1_125_100_so-3.wav,125,100,so-1,so-3
so-1_125_100_sso-1.wav,125,100,so-1,sso-1
so-1_125_100_sso-3.wav,125,100,so-1,sso-3
so-1_125_125_so-1.wav,125,125,so-1,so-1
so-1_125_125_so-3.wav,125,125,so-1,so-3
so-1_125_125_sso-1.wav,125,125,so-1,sso-1
so-1_125_125_sso-3.wav,125,125,so-1,sso-3
so-1_125_150_so-1.wav,125,150,so-1,so-1
so-1_125_150_so-3.wav,125,150,so-1,so-3
so-1_125_150_sso-1.wav,125,150,so-1,sso-1
so-1_125_150_sso-3.wav,125,150,so-1,sso-3
so-1_125_25_so-1.wav,125,25,so-1,so-1
so-1_125_25_so-3.wav,125,25,so-1,so-3
so-1_125_25_sso-1.wav,125,25,so-1,sso-1
so-1_125_25_sso-3.wav,125,25,so-1,sso-3
so-1_125_50_so-1.wav,125,50,so-1,so-1
so-1_125_50_so-3.wav,125,50,so-1,so-3
so-1_125_50_sso-1.wav,125,50,so-1,sso-1
so-1_125_50_sso-3.wav,125,50,so-1,sso-3
